HToken20190218,203001010000 ,203001010000 ,44,11,50837,1830114,354016,88504,4107652,3022816,3897711,154,1073,268,269,12425,11811
HToken20190218,203004010000 ,203004010000 ,45,11,50837,1779278,0,87572,4195224,2935244,3856674,154,0,265,266,12692,11687
HToken20190218,203007010000 ,203007010000 ,46,11,50837,1728441,0,87572,4282796,2847672,3856674,154,0,265,266,12958,11687
HToken20190218,203010010000 ,203010010000 ,47,11,50837,1677605,0,87572,4370368,2760099,3856674,154,0,265,266,13225,11687
HToken20190218,203101010000 ,203101010000 ,48,12,50837,1626768,350289,87572,4457941,2672527,3856674,154,1061,265,266,13491,11687
HToken20190218,203104010000 ,203104010000 ,49,12,50837,1575932,0,86650,4544590,2585877,3816047,154,0,263,264,13754,11564
HToken20190218,203107010000 ,203107010000 ,50,12,50837,1525095,0,86650,4631240,2499228,3816047,154,0,263,264,14018,11564
HToken20190218,203110010000 ,203110010000 ,51,12,50837,1474259,0,86650,4717890,2412578,3816047,154,0,263,264,14282,11564
HToken20190218,203201010000 ,203201010000 ,52,13,50837,1423422,346599,86650,4804540,2325928,3816047,154,1050,263,264,14545,11564
HToken20190218,203204010000 ,203204010000 ,53,13,50837,1372586,0,85737,4890276,2240192,3775827,154,0,260,261,14806,11442
HToken20190218,203207010000 ,203207010000 ,54,13,50837,1321749,0,85737,4976013,2154455,3775827,154,0,260,261,15067,11442
HToken20190218,203210010000 ,203210010000 ,55,13,50837,1270913,0,85737,5061749,2068719,3775827,154,0,260,261,15328,11442
HToken20190218,203301010000 ,203301010000 ,56,14,50837,1220076,342946,85737,5147486,1982982,3775827,154,1039,260,261,15588,11442
HToken20190218,203304010000 ,203304010000 ,57,14,50837,1169240,0,84832,5232318,1898150,3736009,154,0,257,258,15847,11321
HToken20190218,203307010000 ,203307010000 ,58,14,50837,1118403,0,84832,5317151,1813317,3736009,154,0,257,258,16105,11321
HToken20190218,203310010000 ,203310010000 ,59,14,50837,1067567,0,84832,5401983,1728485,3736009,154,0,257,258,16363,11321
